Краснопресненская, 5, Баррикадная, 7, 3
Краснопресненская, 5, Белорусская 5, 5, 3
Краснопресненская, 5, Киевская 5, 5, 3
Белорусская 5, 5, Белорусская 2, 2, 3
Белорусская 5, 5, Краснопресненская, 5, 3
Белорусская 5, 5, Новослободская, 5, 2
Белорусская 5, 5, Метро Белорусская, Трамвай 7, 6
Новослободская, 5, Менделеевская, 9, 3
Новослободская, 5, Белорусская 5, 5, 3
Новослободская, 5, Проспект Мира 5, 5, 3
Новослободская, 5, Лесная улица, Трамвай 7, 6
Проспект Мира 5, 5, Проспект Мира 6, 6, 4
Проспект Мира 5, 5, Новослободская, 5, 3
Проспект Мира 5, 5, Комсомольская 5, 5, 3
Проспект Мира 5, 5, Метро Проспект Мира, Трамвай 7, 7
Проспект Мира 5, 5, Метро Проспект Мира, Автобус М9, 5
Комсомольская 5, 5, Комсомольская 1, 1, 5
Комсомольская 5, 5, Курская 5, 5, 3
Комсомольская 5, 5, Проспект Мира 5, 5, 3
Курская 5, 5, Чкаловская, 10, 6
Курская 5, 5, Курская 3, 3, 4
Курская 5, 5, Таганская 5, 5, 3
Курская 5, 5, Комсомольская 5, 5, 3
Курская 5, 5, Курский вокзал, Автобус Б, 6
Таганская 5, 5, Таганская 7, 7, 3
Таганская 5, 5, Павелецкая 5, 5, 2
Таганская 5, 5, Курская 5, 5, 3
Таганская 5, 5, Метро Таганская, Автобус Б, 5
Таганская 5, 5, Метро Таганская, Автобус М7, 5
Павелецкая 5, 5, Павелецкая 2, 2, 4
Павелецкая 5, 5, Добрынинcкая, 5, 2
Павелецкая 5, 5, Таганская 5, 5, 2
Павелецкая 5, 5, Метро Павелецкая, Автобус Б, 5
Павелецкая 5, 5, Метро Павелецкая, Трамвай А, 5
Добрынинcкая, 5, Серпуховская, 9, 3
Добрынинcкая, 5, Октябрьская 5, 5, 2
Добрынинcкая, 5, Павелецкая 5, 5, 2
Добрынинcкая, 5, Серпуховская площадь, Автобус Б, 6
Добрынинcкая, 5, Серпуховская площадь, Автобус М90, 6
Добрынинcкая, 5, Серпуховская площадь, Автобус М9, 6
Октябрьская 5, 5, Октябрьская 6, 6, 3
Октябрьская 5, 5, Парк культуры 5, 5, 2
Октябрьская 5, 5, Добрынинcкая, 5, 2
Октябрьская 5, 5, Метро Октябрьская, Автобус Б, 5
Октябрьская 5, 5, Метро Октябрьская, Автобус М1, 5
Парк культуры 5, 5, Парк культуры 1, 1, 5
Парк культуры 5, 5, Киевская 5, 5, 3
Парк культуры 5, 5, Октябрьская 5, 5, 2
Парк культуры 5, 5, Метро Парк культуры, Автобус Б, 6
Парк культуры 5, 5, Метро Парк культуры, Автобус М5, 6
Киевская 5, 5, Киевская 3, 3, 3
Киевская 5, 5, Краснопресненская, 5, 3
Киевская 5, 5, Парк культуры 5, 5, 3
Комсомольская 1, 1, Комсомольская 5, 5, 5
Комсомольская 1, 1, Красные Ворота, 1, 2
Комсомольская 1, 1, Метро Комсомольская, Трамвай 7, 4
Красные Ворота, 1, Чистые пруды, 1, 2
Красные Ворота, 1, Комсомольская 1, 1, 2
Красные Ворота, 1, Метро Красные Ворота, Автобус Б, 5
Чистые пруды, 1, Тургеневская, 6, 3
Чистые пруды, 1, Сретенский бульвар, 10, 4
Чистые пруды, 1, Лубянка, 1, 2
Чистые пруды, 1, Красные Ворота, 1, 2
Чистые пруды, 1, Метро Чистые пруды, Трамвай А, 2
Лубянка, 1, Кузнецкий Мост, 7, 4
Лубянка, 1, Охотный Ряд, 1, 2
Лубянка, 1, Чистые пруды, 1, 2
Лубянка, 1, Метро Лубянка, Автобус М7, 5
Лубянка, 1, Метро Лубянка, Автобус М9, 5
Лубянка, 1, Метро Лубянка, Автобус М90, 5
Охотный Ряд, 1, Театральная, 2, 5
Охотный Ряд, 1, Площадь Революции, 3, 10
Охотный Ряд, 1, Библиотека имени Ленина, 1, 2
Охотный Ряд, 1, Лубянка, 1, 2
Охотный Ряд, 1, Метро Охотный Ряд, Автобус М1, 4
Библиотека имени Ленина, 1, Боровицкая, 9, 6
Библиотека имени Ленина, 1, Арбатская, 3, 5
Библиотека имени Ленина, 1, Кропоткинская, 1, 2
Библиотека имени Ленина, 1, Охотный Ряд, 1, 2
Библиотека имени Ленина, 1, Метро Библиотека имени Ленина, Автобус М1, 4
Библиотека имени Ленина, 1, Метро Библиотека имени Ленина, Автобус М7, 4
Библиотека имени Ленина, 1, Метро Библиотека имени Ленина, Автобус М9, 4
Кропоткинская, 1, Парк культуры 1, 1, 2
Кропоткинская, 1, Библиотека имени Ленина, 1, 2
Кропоткинская, 1, Метро Кропоткинская, Автобус М5, 5
Парк культуры 1, 1, Парк культуры 5, 5
Парк культуры 1, 1, Кропоткинская, 1, 2
Белорусская 2, 2, Белорусская 5, 5, 3
Белорусская 2, 2, Маяковская, 2, 2
Белорусская 2, 2, Белорусский вокзал, Автобус М1, 4
Маяковская, 2, Белорусская 2, 2, 2
Маяковская, 2, Метро Маяковская, Автобус М1, 6
Маяковская, 2, Тверская, 2, 2
Тверская, 2, Чеховская, 9, 4
Тверская, 2, Пушкинская, 7, 3
Тверская, 2, Маяковская, 2, 2
Тверская, 2, Театральная, 2, 2
Театральная, 2, Охотный Ряд, 1, 5
Театральная, 2, Площадь Революции, 3, 5
Театральная, 2, Театральная площадь, Автобус М9, 5
Театральная, 2, Театральная площадь, Автобус М7, 5
Театральная, 2, Тверская, 2, 2
Театральная, 2, Новокузнецкая, 2, 3
Новокузнецкая, 2, Третьяковская, 6, 3
Новокузнецкая, 2, Метро Новокузнецкая, Автобус М90, 4
Новокузнецкая, 2, Метро Новокузнецкая, Трамвай А, 4
Новокузнецкая, 2, Театральная, 2, 3
Новокузнецкая, 2, Павелецкая 2, 2, 2
Павелецкая 2, 2, Павелецкая 5, 5, 4
Павелецкая 2, 2, Новокузнецкая, 2, 2
Курская 3, 3, Чкаловская, 10, 4
Курская 3, 3, Курская 5, 5, 4
Курская 3, 3, Площадь Революции, 3, 3
Площадь Революции, 3, Театральная, 2, 5
Площадь Революции, 3, Охотный Ряд, 1, 10
Площадь Революции, 3, Курская 3, 3, 3
Площадь Революции, 3, Арбатская, 3, 2
Арбатская, 3, Библиотека имени Ленина, 1, 5
Арбатская, 3, Боровицкая, 9, 4
Арбатская, 3, Площадь Революции, 3, 2
Арбатская, 3, Арбатские Ворота, Автобус М5, 6
Арбатская, 3, Арбатские Ворота, Автобус М7, 6
Арбатская, 3, Смоленская, 3, 2
Смоленская, 3, Арбатская, 3, 2
Смоленская, 3, Метро Смоленская, Автобус Б, 4
Смоленская, 3, Киевская 3, 3, 2
Киевская 3, 3, Смоленская, 3, 2
Киевская 3, 3, Киевская 5, 5, 3
Проспект Мира 6, 6, Проспект Мира 5, 5, 4
Проспект Мира 6, 6, Метро Проспект Мира (радиальная), Автобус М9, 7
Проспект Мира 6, 6, Сухаревская, 6, 2
Сухаревская, 6, Проспект Мира 6, 6, 2
Сухаревская, 6, Метро Сухаревская, Автобус Б, 4
Сухаревская, 6, Метро Сухаревская, Автобус М9, 4
Сухаревская, 6, Тургеневская, 6, 2
Тургеневская, 6, Чистые пруды, 1, 3
Тургеневская, 6, Сретенский бульвар, 10, 3
Тургеневская, 6, Сухаревская, 6, 2
Тургеневская, 6, Китай-город 6, 6, 2
Китай-город 6, 6, Тургеневская, 6, 2
Китай-город 6, 6, Китай-город 7, 7, 2
Китай-город 6, 6, Метро Китай-Город, Автобус М7, 5
Китай-город 6, 6, Метро Китай-Город, Автобус М90, 5
Китай-город 6, 6, Третьяковская, 6, 3
Третьяковская, 6, Китай-город 6, 6, 3
Третьяковская, 6, Новокузнецкая, 2, 3
Третьяковская, 6, Метро Третьяковская, Трамвай А, 5
Третьяковская, 6, Октябрьская 6, 6, 3
Октябрьская 6, 6, Третьяковская, 6, 3
Октябрьская 6, 6, Метро Октябрьская 6, Автобус М1, 6
Октябрьская 6, 6, Октябрьская 5, 5, 3
Баррикадная, 7, Краснопресненская, 5, 3
Баррикадная, 7, Пушкинская, 7, 3
Пушкинская, 7, Баррикадная, 7, 3
Пушкинская, 7, Чеховская, 9, 4
Пушкинская, 7, Тверская, 2, 3
Пушкинская, 7, Пушкинская площадь, Автобус М1, 4
Пушкинская, 7, Пушкинская площадь, Автобус М5, 4
Пушкинская, 7, Кузнецкий Мост, 7, 2
Кузнецкий Мост, 7, Пушкинская, 7, 2
Кузнецкий Мост, 7, Лубянка, 1, 4
Кузнецкий Мост, 7, Китай-город 7, 7, 2
Китай-город 7, 7, Кузнецкий Мост, 7, 2
Китай-город 7, 7, Китай-город 6, 6, 2
Китай-город 7, 7, Таганская 7, 7, 3
Таганская 7, 7, Китай-город 7, 7, 3
Таганская 7, 7, Таганская 5, 5, 3
Менделеевская, 9, Новослободская, 5, 3
Менделеевская, 9, Цветной бульвар, 9, 3
Цветной бульвар, 9, Менделеевская, 9, 3
Цветной бульвар, 9, Трубная, 10, 4
Цветной бульвар, 9, Метро Цветной бульвар, Автобус М5, 6
Цветной бульвар, 9, Чеховская, 9, 2
Чеховская, 9, Цветной бульвар, 9, 2
Чеховская, 9, Тверская, 2, 4
Чеховская, 9, Пушкинская, 7, 4
Чеховская, 9, Боровицкая, 9, 3
Боровицкая, 9, Чеховская, 9, 3
Боровицкая, 9, Арбатская, 3, 4
Боровицкая, 9, Библиотека имени Ленина, 1, 6
Боровицкая, 9, Полянка, 9, 2
Полянка, 9, Боровицкая, 9, 2
Полянка, 9, Метро Полянка, Автобус М9, 4
Полянка, 9, Серпуховская, 9, 2
Серпуховская, 9, Полянка, 9, 2
Серпуховская, 9, Добрынинcкая, 5, 3
Серпуховская, 9, Метро Серпуховская, Автобус М9, 3
Серпуховская, 9, Метро Серпуховская, Автобус М90, 3
Достоевская, 10, 4-й Самотёчный переулок, Трамвай 7, 8
Достоевская, 10, Метро Достоевская, Автобус М5, 4
Достоевская, 10, Трубная, 10, 2
Трубная, 10, Достоевская, 10, 2
Трубная, 10, Цветной бульвар, 9, 4
Трубная, 10, Метро Трубная, Автобус М5, 5
Трубная, 10, Сретенский бульвар, 10, 3
Сретенский бульвар, 10, Трубная, 10, 3
Сретенский бульвар, 10, Чистые пруды, 1, 4
Сретенский бульвар, 10, Тургеневская, 6, 3
Сретенский бульвар, 10, Чкаловская, 10, 3
Чкаловская, 10, Сретенский бульвар, 10, 3
Чкаловская, 10, Курская 3, 3, 4
Чкаловская, 10, Курская 5, 5, 6
Театр кукол имени Образцова, Автобус Б, Каретный Ряд, Автобус Б, 1
Театр кукол имени Образцова, Автобус Б, Самотёчная площадь, Автобус Б, 1
Самотёчная площадь, Автобус Б, Театр кукол имени Образцова, Автобус Б, 1
Самотёчная площадь, Автобус Б, Мещанская улица, Автобус Б, 1
Мещанская улица, Автобус Б, Самотёчная площадь, Автобус Б, 1
Мещанская улица, Автобус Б, Метро Сухаревская, Автобус Б, 1
Метро Сухаревская, Автобус Б, Мещанская улица, Автобус Б, 1
Метро Сухаревская, Автобус Б, Сухаревская, 6, 4
Метро Сухаревская, Автобус Б, Большая Спасская улица, Автобус Б, 1
Большая Спасская улица, Автобус Б, Метро Сухаревская, Автобус Б, 1
Большая Спасская улица, Автобус Б, Проспект Академика Сахарова, Автобус Б, 1
Проспект Академика Сахарова, Автобус Б, Большая Спасская улица, Автобус Б, 1
Проспект Академика Сахарова, Автобус Б, Метро Красные Ворота, Автобус Б, 1
Метро Красные Ворота, Автобус Б, Проспект Академика Сахарова, Автобус Б, 1
Метро Красные Ворота, Автобус Б, Красные Ворота, 1, 5
Метро Красные Ворота, Автобус Б, Институт глазных болезней, Автобус Б, 1
Институт глазных болезней, Автобус Б, Метро Красные Ворота, Автобус Б, 1
Институт глазных болезней, Автобус Б, Площадь Земляной Вал, Автобус Б, 1
Площадь Земляной Вал, Автобус Б, Институт глазных болезней, Автобус Б, 1
Площадь Земляной Вал, Автобус Б, Кинотеатр Звезда,  Автобус Б, 1
Кинотеатр Звезда, Автобус Б, Площадь Земляной Вал, Автобус Б, 1
Кинотеатр Звезда, Автобус Б, Курский вокзал, Автобус Б, 1
Курский вокзал, Автобус Б, Кинотеатр Звезда, Автобус Б, 1
Курский вокзал, Автобус Б, Курская 5, 5, 6
Курский вокзал, Автобус Б, Сыромятники, Автобус Б, 1
Сыромятники, Автобус Б, Курский вокзал, Автобус Б, 1
Сыромятники, Автобус Б, Высокояузский мост, Автобус Б, 1
Высокояузский мост, Автобус Б, Сыромятники, Автобус Б, 1
Высокояузский мост, Автобус Б, Сивяков переулок, Автобус Б, 1
Сивяков переулок, Автобус Б, Высокояузский мост, Автобус Б, 1
Сивяков переулок, Автобус Б, Николоямская улица, Автобус Б, 1
Николоямская улица, Автобус Б, Сивяков переулок, Автобус Б, 1
Николоямская улица, Автобус Б, Метро Таганская, Автобус Б, 1
Метро Таганская, Автобус Б, Николоямская улица, Автобус Б, 1
Метро Таганская, Автобус Б, Таганская 5, 5, 5
Метро Таганская, Автобус Б, Народная улица, Автобус Б, 1
Народная улица, Автобус Б, Метро Таганская, Автобус Б, 1
Народная улица, Автобус Б, Дом Музыки, Автобус Б, 1
Дом Музыки, Автобус Б, Народная улица, Автобус Б, 1
Дом Музыки, Автобус Б, Метро Павелецкая, Автобус Б, 1
Метро Павелецкая, Автобус Б, Дом Музыки, Автобус Б, 1
Метро Павелецкая, Автобус Б, Павелецкая 5, 5, 5
Метро Павелецкая, Автобус Б, Большой Строченовский переулок, Автобус Б, 1
Большой Строченовский переулок, Автобус Б, Метро Павелецкая, Автобус Б, 1
Большой Строченовский переулок, Автобус Б, Серпуховская площадь, Автобус Б, 1
Серпуховская площадь, Автобус Б, Большой Строченовский переулок, Автобус Б, 1
Серпуховская площадь, Автобус Б, Добрынинcкая, 5, 6
Серпуховская площадь, Автобус Б, Житная улица, Автобус Б, 1
Житная улица, Автобус Б, Серпуховская площадь, Автобус Б, 1
Житная улица, Автобус Б, Метро Октябрьская, Автобус Б, 1
Метро Октябрьская, Автобус Б, Житная улица, Автобус Б, 1
Метро Октябрьская, Автобус Б, Октябрьская 5, 5, 5
Метро Октябрьская, Автобус Б, Парк Горького, Автобус Б, 1
Парк Горького, Автобус Б, Метро Октябрьская, Автобус Б, 1
Парк Горького, Автобус Б, Метро Парк культуры, Автобус Б, 1
Метро Парк культуры, Автобус Б, Парк Горького, Автобус Б, 1
Метро Парк культуры, Автобус Б, Парк культуры 5, 5, 6
Метро Парк культуры, Автобус Б, Зубовская площадь, Автобус Б, 1
Зубовская площадь, Автобус Б, Метро Парк культуры, Автобус Б, 1
Зубовская площадь, Автобус Б, 1-й Неопалимовский переулок, Автобус Б, 1
1-й Неопалимовский переулок, Автобус Б, Зубовская площадь, Автобус Б, 1
1-й Неопалимовский переулок, Автобус Б, Смоленская площадь, Автобус Б, 1
Смоленская площадь, Автобус Б, 1-й Неопалимовский переулок, Автобус Б, 1
Смоленская площадь, Автобус Б, Метро Смоленская, Автобус Б, 1
Метро Смоленская, Автобус Б, Смоленская площадь, Автобус Б, 1
Метро Смоленская, Автобус Б, Смоленская, 3, 4
Метро Смоленская, Автобус Б, Новинский бульвар, Автобус М7, 6
Метро Смоленская, Автобус Б, Дом Шаляпина, Автобус Б, 1
Дом Шаляпина, Автобус Б, Метро Смоленская, Автобус Б, 1
Дом Шаляпина, Автобус Б, Кудринская площадь, Автобус Б, 1
Кудринская площадь, Автобус Б, Дом Шаляпина, Автобус Б, 1
Кудринская площадь, Автобус Б, Малая Никитская улица, Автобус Б, 1
Малая Никитская улица, Автобус Б, Кудринская площадь, Автобус Б, 1
Малая Никитская улица, Автобус Б, Спиридоновка, Автобус Б, 1
Спиридоновка, Автобус Б, Малая Никитская улица, Автобус Б, 1
Спиридоновка, Автобус Б, Малая Бронная улица, Автобус Б, 1
Малая Бронная улица, Автобус Б, Спиридоновка, Автобус Б, 1
Малая Бронная улица, Автобус Б, Воротниковский переулок, Автобус Б, 1
Воротниковский переулок, Автобус Б, Малая Бронная улица, Автобус Б, 1
Воротниковский переулок, Автобус Б, Малая Дмитровка, Автобус Б, 1
Малая Дмитровка, Автобус Б, Воротниковский переулок, Автобус Б, 1
Малая Дмитровка, Автобус Б, Каретный Ряд, Автобус Б, 1
Каретный Ряд, Автобус Б, Малая Дмитровка, Автобус Б, 1
Каретный Ряд, Автобус Б, Театр кукол имени Образцова, Автобус Б, 1
Белорусский вокзал, Автобус М1, Метро Белорусская, Трамвай 7, 3
Белорусский вокзал, Автобус М1, Белорусская 2, 2, 4
Белорусский вокзал, Автобус М1, Большая Грузинская улица, Автобус М1, 1
Большая Грузинская улица, Автобус М1, Белорусский вокзал, Автобус М1, 1
Большая Грузинская улица, Автобус М1, Улица Юлиуса Фучика, Автобус М1, 1
Улица Юлиуса Фучика, Автобус М1, Большая Грузинская улица, Автобус М1, 1
Улица Юлиуса Фучика, Автобус М1, Метро Маяковская, Автобус М1, 1
Метро Маяковская, Автобус М1, Улица Юлиуса Фучика, Автобус М1, 1
Метро Маяковская, Автобус М1, Маяковская, 2, 6
Метро Маяковская, Автобус М1, Глазная больница, Автобус М1, 1
Глазная больница, Автобус М1, Метро Маяковская, Автобус М1, 1
Глазная больница, Автобус М1, Пушкинская площадь, Автобус М1, 1
Пушкинская площадь, Автобус М1, Глазная больница, Автобус М1, 1
Пушкинская площадь, Автобус М1, Пушкинская, 7, 4
Пушкинская площадь, Автобус М1, Тверская площадь, Автобус М1, 1
Тверская площадь, Автобус М1, Пушкинская площадь, Автобус М1, 1
Тверская площадь, Автобус М1, Метро Охотный Ряд, Автобус М1, 2
Метро Охотный Ряд, Автобус М1, Тверская площадь, Автобус М1, 2
Метро Охотный Ряд, Автобус М1, Охотный Ряд, 1, 4
Метро Охотный Ряд, Автобус М1, Метро Библиотека имени Ленина, Автобус М1, 1
Метро Библиотека имени Ленина, Автобус М1, Метро Охотный Ряд, Автобус М1, 1
Метро Библиотека имени Ленина, Автобус М1, Библиотека имени Ленина, 1, 4
Метро Библиотека имени Ленина, Автобус М1, Болотная площадь, Автобус М1, 1
Болотная площадь, Автобус М1, Метро Библиотека имени Ленина, Автобус М1, 1
Болотная площадь, Автобус М1, Большая Якиманка, Автобус М1, 1
Большая Якиманка, Автобус М1, Болотная площадь, Автобус М1, 1
Большая Якиманка, Автобус М1, 3-й Голутвинский переулок, Автобус М1, 1
3-й Голутвинский переулок, Автобус М1, Большая Якиманка, Автобус М1, 1
3-й Голутвинский переулок, Автобус М1, 1-й Бабьегородский переулок, Автобус М1, 1
1-й Бабьегородский переулок, Автобус М1, 3-й Голутвинский переулок, Автобус М1, 1
1-й Бабьегородский переулок, Автобус М1, Метро Октябрьская 6, Автобус М1, 1
Метро Октябрьская 6, Автобус М1, 1-й Бабьегородский переулок, Автобус М1, 1
Метро Октябрьская 6, Автобус М1, Октябрьская 6, 6, 6
Метро Октябрьская 6, Автобус М1, Метро Октябрьская, Автобус М1, 1
Метро Достоевская, Автобус М5, Достоевская, 10, 4
Метро Достоевская, Автобус М5, Самотёчная улица, Автобус М5, 2
Самотёчная улица, Автобус М5, Метро Достоевская, Автобус М5, 2
Самотёчная улица, Автобус М5, Самотёчная эстакада, Автобус М5, 2
Самотёчная эстакада, Автобус М5, Самотёчная улица, Автобус М5, 2
Самотёчная эстакада, Автобус М5, Самотёчная площадь, Автобус М5, 2
Самотёчная площадь, Автобус М5, Самотёчная эстакада, Автобус М5, 2
Самотёчная площадь, Автобус М5, Метро Цветной бульвар, Автобус М5, 2
Метро Цветной бульвар, Автобус М5, Самотёчная площадь, Автобус М5, 2
Метро Цветной бульвар, Автобус М5, Цветной бульвар, 9, 6
Метро Цветной бульвар, Автобус М5, Метро Трубная, Автобус М5, 2
Метро Трубная, Автобус М5, Метро Цветной бульвар, Автобус М5, 2
Метро Трубная, Автобус М5, Трубная, 10, 5
Метро Трубная, Автобус М5, Петровский бульвар, Автобус М5, 2
Петровский бульвар, Автобус М5, Метро Трубная, Автобус М5, 2
Петровский бульвар, Автобус М5, Страстной бульвар, Автобус М5, 2
Страстной бульвар, Автобус М5, Петровский бульвар, Автобус М5, 2
Страстной бульвар, Автобус М5, Пушкинская площадь, Автобус М5, 2
Пушкинская площадь, Автобус М5, Страстной бульвар, Автобус М5, 2
Пушкинская площадь, Автобус М5, Пушкинская, 7, 4
Пушкинская площадь, Автобус М5, Тверская улица, Автобус М5, 2
Тверская улица, Автобус М5, Пушкинская площадь, Автобус М5, 2
Тверская улица, Автобус М5, Тверской бульвар, Автобус М5, 2
Тверской бульвар, Автобус М5, Тверская улица, Автобус М5, 2
Тверской бульвар, Автобус М5, Никитские Ворота - ТЭСС, Автобус М5, 2
Никитские Ворота - ТЭСС, Автобус М5, Тверской бульвар, Автобус М5, 2
Никитские Ворота - ТЭСС, Автобус М5, Никитский бульвар, Автобус М5, 2
Никитский бульвар, Автобус М5, Никитские Ворота - ТЭСС, Автобус М5, 2
Никитский бульвар, Автобус М5, Арбатские Ворота, Автобус М5, 2
Арбатские Ворота, Автобус М5, Никитский бульвар, Автобус М5, 2
Арбатские Ворота, Автобус М5, Арбатская, 3, 6
Арбатские Ворота, Автобус М5, Сивцев Вражек, Автобус М5, 2
Сивцев Вражек, Автобус М5, Арбатские Ворота, Автобус М5, 2
